URL,Name,Status,Notes,Instructions
https://3dgunbuilder.com/accessories/3d-printed-suppressors-stl/,3D Printed Suppressors (5 Best STL Files),Maybe,,
https://3dgunbuilder.com/rifles/fgc-9-mkii-stingray/,FGC-9 MKII Stingray | 3D Gun Builder,Maybe,,
https://odysee.com/@TheGatalog-PrintableFramesReceivers:9/MERP-v1.0:5,The MERP - 3D Printable SIG MPX,Maybe,The Gatalog presents:  The MERP - 3D Printable SIG MPX  Join the community at thegatalog.com  URL lbry://@TheGatalog-PrintableFramesReceivers#9/MERP-v1.0#5 Claim ID 52b0ad42d7c814e7b70fdf9383f6149d2def24db 4.65 MB,
https://odysee.com/@TheGatalog-PrintableFramesReceivers:9/tms94-effeeness-v1.0.2:0,TMS-FNS 3D Printable FNS40/FNS9 + FN509 Frame,Maybe,The Gatalog presents:  The TMS 94 'Effeeness' 3D Printable FNS40/FNS9 Frame  Join the community at thegatalog.com  URL lbry://@TheGatalog-PrintableFramesReceivers#9/tms94-effeeness-v1.0.2#0 Claim ID 059c52ebd1276b03b1f8ec147d3d21a17cadf317 86.57 MB,
https://3dgunbuilder.com/accessories/3d-printed-suppressors-stl/,3D Printed Suppressors (5 Best STL Files),,,
https://odysee.com/@TheGatalog-Suppressors:a/ShushPuppyPackage:f,The Shush Puppy,Maybe,"The Gatalog presents:  The Shush Puppy - a fully printed, modular suppressor system.  Join the community: thegatalog.com  URL lbry://@TheGatalog-Suppressors#a/ShushPuppyPackage#f Claim ID f30216597852efa8db9f2317700a1275d66ac67a 17.5 MB",
https://odysee.com/@TheGatalog-Suppressors:a/K-CAD-3D-Printed-Suppressor-Pack-V1.0:d,K-CAD 3D Printed Suppressor Pack V1.0,Maybe,The Gatalog presents:  The K-CAD 3D Printed Suppressor Pack V1.0  Join the community at thegatalog.com  URL lbry://@TheGatalog-Suppressors#a/K-CAD-3D-Printed-Suppressor-Pack-V1.0#d Claim ID d31016083d656fab6c1b1db198eadc58cee3b15c 387.34 MB,
https://odysee.com/@TheGatalog-Guides_Tutorials:b/BWA-Ammo-V1.0:b,ButWhatAbout: Ammo Volume 1: How to create live 9x19mm ammo from deactivated ammo in Europe,Maybe,The Gatalog presents:  ButWhatAbout: Ammo Volume 1  Join the community at thegatalog.com  URL lbry://@TheGatalog-Guides_Tutorials#b/BWA-Ammo-V1.0#b Claim ID be4f4071008af4d87ff00a5e2734c70740f8e4f9 11.29 MB,
https://odysee.com/@TheGatalog-PrimarilyPrintedDesigns:9/covid-22-Master:b,COVID-22 3D Printable 22lr Pistol,Maybe,The Gatalog presents:  The COVID-22 3D Printable 22lr Pistol by baconman  Join the community: thegatalog.com  URL lbry://@TheGatalog-PrimarilyPrintedDesigns#9/covid-22-Master#b Claim ID bc0f0a113591065a5b679779bc95ca2a1e0eb257 22.95 MB,
https://odysee.com/@BooliganCustomGunworks:f/G19Eleven-1.0-Release:a,G19Eleven,Maybe,"The G19Eleven is a FMDA DD19.2 Remix Frame Package to emulate the look and feel of the classic 1911, but merged with a Glock. Included are several different grip panels including some awesome designs by ChairmanWon!  EDIT: 1.1 Release has correct STL for the frame with the cutout for the trigger.  EDIT 2: This is designed around factory, normal style Glock triggers. Aftermarket or funky designed triggers may hit the lower profile trigger guard. If yours is hitting, you can always sand a bit off of the bottom of the trigger and trigger safety to ensure it clears, with no effect on the functionality of the trigger safety.  3d printing URL lbry://@BooliganCustomGunworks#f/G19Eleven-1.0-Release#a Claim ID a8c3a284bf0ed3195a179b148f575cd0dbb40316 393.82 MB",
https://www.youtube.com/watch?v=eXMgJ1t8VfE,B&T USW At Home - YouTube,Todo,find the odysee/defcad/ctrlpew for this,
https://www.thefirearmblog.com/blog/2019/12/02/new-venom-suppressor-for-cz-scorpion-evo-3-by-manticore-arms-and-rat-worx/,New VENOM Suppressor for CZ Scorpion EVO 3 Pistols by Manticore Arms and Rat Worx -The Firearm Blog,Maybe,"6061 Aluminum, so it could be CAD'ed from the GG3",
https://www.thingiverse.com/thing:2858205,AR Folding Brass Catcher by AlbertP - Thingiverse,Todo,,
https://odysee.com/$/search?q=the%20%22gatalog%22,MAIN,,MAIN GATALOG,
https://odysee.com/@TheGatalog-PrintableFramesReceivers:9/dd20.1-dnl:5,Glock 20/21 Frame,In progress,,https://odysee.com/@Ivan's_CAD_Streams:c/FMDADD17.2GlockFrameTutorial:e?&sunset=lbrytv
https://odysee.com/@printshootrepeat:5?view=content,PSR's channel,,,
https://www.printables.com/model/127028-parametric-filament-spool-cable-organiser/files,Parametric Filament Spool cable organiser by Chris Borge | Download free STL model | Printables.com,Maybe,,
https://www.printables.com/model/457461-dual-spool-cord-wrap/files,Dual Spool Cord Wrap by Andrew Roth | Download free STL model | Printables.com,Maybe,,
https://www.printables.com/model/427009-parts-bin-inserts-for-hatchbox-filament-spool/files,Parts Bin inserts for HatchBox Filament Spool by Aaron Nance | Download free STL model | Printables.com,Maybe,,
https://www.printables.com/model/143783-vertical-filament-spool-parts-drawer-openscad,Vertical Filament Spool Parts Drawer (OpenSCAD) by 3D Printy | Download free STL model | Printables.com,Maybe,,
https://odysee.com/@3DPrint:1/15-must-have-free-bambu-lab-prints:7,15 Must Have FREE Bambu Lab Prints,Todo,,
https://thangs.com/designer/RWB%20Designs/3d-model/Rising%20Sun%20Box%20-887466,Rising Sun Box - 3D model by RWB Designs on Thangs,Maybe,,
https://www.thingiverse.com/thing:3095799,NASA Fabric Mk 3 Optimized for FDM Printing by TurboDork - Thingiverse,Maybe,"Armor?
",
https://odysee.com/@RICECUTTA:6,,,RICECUTTA - AWesome Jap gun parts designer,
https://www.matterhackers.com/store/l/printdry-pro-filament-drying-system/sk/M25THN6X,PrintDry PRO Filament Drying System | MatterHackers,Maybe,Nice spool,
https://www.matterhackers.com/store/l/nylonx-carbon-fiber-nylon-filament-1.75mm/sk/MD5LDGS7,NylonX Carbon Fiber Filament - 1.75mm (0.5kg) | MatterHackers,Maybe,,
https://maf-arms.com/product-category/chime-kits/,Wind chimes Kit MKII,Todo,"For nice 'wind chimes'
",
https://www.youtube.com/watch?v=LhTVVW9nRTM,Which 3D Scanner is Best for 3D Printing? - YouTube,Maybe,"For cloning existing builds otherwise thought impossible (40mm rounds and the 40mm itself, for example)",
https://www.printables.com/model/502214-horizontal-filament-spool-parts-drawer,Horizontal Filament Spool Parts Drawer by Wyatt Taylor | Download free STL model | Printables.com,Todo,,
https://www.youtube.com/watch?v=D_pEmQrF7V0&t=1s,50+ Useful 3D Prints You Never Knew You Could Print - YouTube,Todo,,
